Date,Open,High,Low,Close,Volume,Adj Close,MA30,MA60,MA120,MA240
2000-01-04,300000.0,305500.0,283000.0,305500.0,1483900,293136.36,,,,
2000-01-05,290000.0,303000.0,276000.0,279000.0,1493600,267708.82,,,,
2000-01-06,287500.0,289000.0,279000.0,281000.0,1087800,269627.88,,,,
2000-01-07,278000.0,283500.0,268000.0,277000.0,806100,265789.76,,,,
2000-01-10,280000.0,288500.0,279000.0,288500.0,937600,276824.35,,,,
2000-01-11,291000.0,305000.0,288500.0,288500.0,1194900,276824.35,,,,
2000-01-12,280500.0,287000.0,280000.0,286000.0,584400,274425.53,,,,
2000-01-13,280000.0,287000.0,278000.0,285500.0,823800,273945.76,,,,
2000-01-14,286000.0,294000.0,284000.0,291500.0,987500,279702.94,,,,
2000-01-17,300000.0,309000.0,296000.0,305000.0,1270100,292656.59,,,,
2000-01-18,308000.0,308000.0,299000.0,305000.0,905200,292656.59,,,,
2000-01-19,300000.0,302000.0,298000.0,298000.0,804100,285939.89,,,,
2000-01-20,293000.0,302000.0,291000.0,302000.0,746300,289778.0,,,,
2000-01-21,297500.0,299000.0,294000.0,294000.0,650700,282101.77,,,,
2000-01-24,290000.0,295000.0,285000.0,285000.0,687100,273466.0,,,,
2000-01-25,276000.0,282000.0,272000.0,272000.0,885000,260992.11,,,,
2000-01-26,275000.0,276000.0,270500.0,274000.0,585700,262911.17,,,,
2000-01-27,274000.0,281000.0,271500.0,276000.0,558000,264830.23,,,,
2000-01-28,282000.0,294000.0,277000.0,291000.0,766300,279223.18,,,,
2000-01-31,282000.0,286500.0,278000.0,279000.0,792600,267708.82,,,,
2000-02-01,280000.0,284000.0,263000.0,266000.0,1429400,255234.93,,,,
2000-02-02,261000.0,268500.0,255500.0,262500.0,1282100,251876.58,,,,
2000-02-03,262500.0,273000.0,248500.0,256500.0,2855300,246119.4,,,,
2000-02-04,256500.0,256500.0,256500.0,256500.0,0,246119.4,,,,
2000-02-07,257000.0,266500.0,252000.0,262000.0,1282800,251396.81,,,,
2000-02-08,267000.0,274000.0,265500.0,271500.0,1169200,260512.35,,,,
2000-02-09,278000.0,286000.0,274000.0,286000.0,1021000,274425.53,,,,
2000-02-10,283000.0,294000.0,280000.0,288000.0,1236900,276344.59,,,,
2000-02-11,298000.0,298000.0,284000.0,285000.0,693200,273466.0,,,,
2000-02-14,280000.0,283000.0,267000.0,269000.0,882800,258113.52,270795.307,,,
2000-02-15,269000.0,271000.0,257000.0,260000.0,766300,249477.75,269340.01999999996,,,
2000-02-16,259000.0,260000.0,239000.0,250000.0,1462300,239882.45,268412.47433333326,,,
2000-02-17,247000.0,255000.0,245500.0,254000.0,1303700,243720.57,267548.8973333333,,,
2000-02-18,268500.0,281500.0,258000.0,265000.0,2175000,254275.4,267165.0853333333,,,
2000-02-21,260000.0,263000.0,251500.0,253500.0,529700,243240.81,266045.63399999996,,,
2000-02-22,250000.0,262000.0,250000.0,256000.0,483600,245639.63,265006.1433333333,,,
2000-02-23,261000.0,263000.0,255000.0,257000.0,554400,246599.16,264078.59766666667,,,
2000-02-24,256000.0,262000.0,253000.0,253500.0,521500,243240.81,263055.0993333333,,,
2000-02-25,254000.0,257500.0,249000.0,256000.0,557500,245639.63,261919.65566666663,,,
2000-02-28,250000.0,252500.0,240000.0,240000.0,602800,230287.16,259840.67466666663,,,
2000-02-29,245000.0,257000.0,242000.0,256000.0,1036400,245639.63,258273.44266666664,,,
2000-03-01,256000.0,256000.0,256000.0,256000.0,0,245639.63,256930.10066666667,,,
2000-03-02,294000.0,294000.0,276000.0,294000.0,2355000,282101.77,256674.2263333333,,,
2000-03-03,310000.0,312500.0,294000.0,300000.0,2819800,287858.95,256866.13233333328,,,
2000-03-06,300000.0,302500.0,280000.0,282000.0,783000,270587.41,256770.1793333333,,,
2000-03-07,280000.0,282000.0,274000.0,281000.0,601400,269627.88,257058.03833333327,,,
2000-03-08,276000.0,300000.0,275000.0,296000.0,649200,284020.83,257761.69366666663,,,
2000-03-09,298500.0,299000.0,281000.0,281000.0,1117800,269627.88,257921.6153333333,,,
2000-03-10,289500.0,290000.0,276000.0,277000.0,572100,265789.76,257473.83466666663,,,
2000-03-13,274000.0,274500.0,258000.0,259000.0,644300,248518.22,256834.14799999996,,,
2000-03-14,258500.0,269000.0,258000.0,260500.0,601200,249957.52,256658.23433333327,,,
2000-03-15,260000.0,270000.0,256000.0,270000.0,922100,259073.05,256898.1166666666,,,
2000-03-16,274000.0,276000.0,268000.0,270000.0,575900,259073.05,257329.9049999999,,,
2000-03-17,277000.0,278000.0,270000.0,274000.0,481600,262911.17,257889.63066666658,,,
2000-03-20,280000.0,285500.0,276500.0,283000.0,527300,271546.94,258561.3016666666,,,
2000-03-21,285000.0,297000.0,280500.0,294000.0,898500,282101.77,259280.94899999996,,,
